Disciplina;quantidade de docentes da disciplina
ADMINISTRADOR;31
ANALISTA DE TEC DA INFORMACAO;25
ARQUITETO E URBANISTA;3
ARQUIVISTA;1
ASSISTENTE DE ALUNO;44
ASSISTENTE DE LABORATORIO;15
ASSISTENTE EM ADMINISTRACAO;298
ASSISTENTE SOCIAL;45
AUDITOR;17
AUX EM ADMINISTRACAO;98
AUXILIAR DE ARTES GRAFICAS;2
AUXILIAR DE BIBLIOTECA;7
AUXILIAR DE ELETRICISTA;1
AUXILIAR DE ENFERMAGEM;4
AUXILIAR DE LABORATORIO;1
AUXILIAR DE MECANICA;1
AUXILIAR EM ASSUNTOS EDUCACIONAIS;5
BIBLIOTECARIO-DOCUMENTALISTA;26
CARPINTEIRO;2
CONTADOR;21
DESENHISTA TECNICO ESPECIALIDADE;1
DESENHISTA-PROJETISTA;1
DIAGRAMADOR;4
ECONOMISTA;3
ELETRICISTA;1
ENFERMEIRO DO TRABALHO;1
ENFERMEIRO-AREA;6
ENGENHEIRO AGRONOMO;1
ENGENHEIRO DE SEG DO TRABALHO;4
ENGENHEIRO-AREA;25
ESTAGIARIO DE NIVEL SUPERIOR;18
ESTAGIARIO JORNADA 30 HORAS;1
ESTAGIARIO NIVEL MEDIO - INPE;4
ESTATISTICO;1
FISICO;1
FISIOTERAPEUTA;1
IMPRESSOR;2
JORNALISTA;2
MARCENEIRO;1
MECANICO;3
MEDICO VETERINARIO;3
MEDICO-AREA;23
MOTORISTA;4
NUTRICIONISTA-HABILITACAO;11
ODONTOLOGO - 30H - DEC JUD;4
ODONTOLOGO - 40 HORAS;17
OPERADOR DE MAQ DE LAVANDERIA;1
OPERADOR DE MAQUINA COPIADORA;2
OPERADOR DE TELE-IMPRESSORA;1
PEDAGOGO-AREA;37
PINTOR-AREA;1
PORTEIRO;3
PROCURADOR FEDERAL;3
PRODUTOR CULTURAL;1
PROF DO ENSINO BASICO TEC TECNOLOGICO;2
PROF ENS BAS TEC TECNOLOGICO - VISITANTE;12
PROF ENS BAS TEC TECNOLOGICO-SUBSTITUTO;131
PROFESSOR ENS BASICO TECN TECNOLOGICO;1522
PROGRAMADOR VISUAL;2
PSICOLOGO-AREA;24
PUBLICITARIO;1
REDATOR;1
REVISOR DE TEXTOS;2
SECRETARIO EXECUTIVO;15
SERVENTE DE LIMPEZA;6
SERVENTE DE OBRAS;1
TEC DE TECNOLOGIA DA INFORMACAO;26
TEC EM METROLOGIA E QUALIDADE;1
TEC EM SEGURANCA DO TRABALHO;7
TECNICO DE LABORATORIO AREA;109
TECNICO EM AGROPECUARIA;3
TECNICO EM ALIMENTOS E LATICINIOS;3
TECNICO EM ASSUNTOS EDUCACIONAIS;37
TECNICO EM AUDIOVISUAL;12
TECNICO EM CONTABILIDADE;12
TECNICO EM EDIFICACOES;3
TECNICO EM ELETROTECNICA;5
TECNICO EM ENFERMAGEM;26
TECNICO EM HIGIENE DENTAL;1
TECNICO EM MECANICA;3
TECNICO EM MINERACAO;1
TECNICO EM QUIMICA;3
TECNICO EM SECRETARIADO;8
TECNOLOGO-FORMACAO;11
TELEFONISTA;3
TRADUTOR INTERPRETE DE LINGUAGEM SINAIS;18
VIGILANTE;16
